Nº pieza,Denominación de pieza,Tipo de pieza,Material en bruto,Actividad,Estado de FT,Tiempo de mecanizado nominal [min],Tiempo de mecanizado real [min],Cantidad real,Peso por unidad,Anchura,Longitud,MaterialTruTops,Tipo_Material,Espesor_mm,Tiempo_unitario_real_min,bounding_box_area,aspect_ratio,perimetro_aproximado,Tiempo_unitario_nominal_min,bounding_box_area_mm2,perimetro_aproximado_mm,dim_max,dim_min,peso_kg
502000987,LATERAL PATA HIDRAULICA DERECHA,,DD11 DEC.-4,Plegado,Listo,6.5,17.1086,13,6.028759999999999,311.2256,1060.14908,St37-40,DD11 DEC.,4.0,1.3160461538461539,329945.53351244796,3.4063684992494188,2742.74936,0.5,329945.53351244796,2742.74936,1060.14908,311.2256,6.028759999999999
502002161,SOPORTE GUIA DEL BRAZO CESTA,Soporte,DD11 DEC.-4,Plegado,Listo,3.0,12.506599999999999,6,0.7049799999999999,140.14174999999997,164.0,St37-40,DD11 DEC.,4.0,2.084433333333333,22983.246999999996,1.170243699682643,608.2835,0.5,22983.246999999996,608.2835,164.0,140.14174999999997,0.7049799999999999
922040358,CHAPA PLEGADA 40.130.40 x 950 x e= 4 mm,Chapa,GALVA-4,Plegado,Listo,6.0,12.6291,12,5.75962,195.33424,950.0,GALVA-40,GALVA,4.0,1.052425,185567.528,4.863458654253345,2290.66848,0.5,185567.528,2290.66848,950.0,195.33424,5.75962
BRH3000205_GAL_A_1,BRH3000205_GAL_A,,GALVA-3,Plegado,Listo,1.0,1.0,2,0.8852599999999999,152.0,274.53999999999996,GALVA-30,GALVA,3.0,0.5,41730.079999999994,1.8061842105263155,853.0799999999999,0.5,41730.079999999994,853.0799999999999,274.53999999999996,152.0,0.8852599999999999
BRH3000205_GAL_A_2,BRH3000205_GAL_A,,GALVA-3,Plegado,Listo,1.0,1.0,2,0.73142,135.21227,292.46999999999997,GALVA-30,GALVA,3.0,0.5,39545.53260689999,2.163043339188078,855.3645399999999,0.5,39545.53260689999,855.3645399999999,292.46999999999997,135.21227,0.73142
CHMLED4CIN3X3,3X3_01-CHASIS CABINET 3x3 mod P3 4 ESQ,,DD11 DEC.-1.4,Plegado,Listo,2.5,19.1069,5,3.2354999999999996,671.4977899999999,819.0,St37-14,DD11 DEC.,1.4,3.82138,549956.6900099999,1.2196614973222772,2980.99558,0.5,549956.6900099999,2980.99558,819.0,671.4977899999999,3.2354999999999996
CHMLED4CIN5X2_01,CF_CJTO_5X2_01,,DD11 DEC.-1.4,Plegado,Listo,2.5,26.740499999999997,5,3.3717099999999998,479.26216999999997,1197.52434,St37-14,DD11 DEC.,1.4,5.3481,573928.1138162178,2.4986832154935157,3353.57302,0.5,573928.1138162178,3353.57302,1197.52434,479.26216999999997,3.3717099999999998
MA002943,Angular 40,Escuadra,DD11 DEC.-4,Plegado,Listo,50.0,0.9277,100,0.0875,40.0,72.66999999999999,St37-40,DD11 DEC.,4.0,0.009277,2906.7999999999993,1.8167499999999996,225.33999999999997,0.5,2906.7999999999993,225.33999999999997,72.66999999999999,40.0,0.0875
MA005343,U gondola intradema L240-2Per,,DD11 DEC.-1.4,Plegado,Listo,72.0,44.90989999999999,144,0.08846,34.0,240.0,St37-14,DD11 DEC.,1.4,0.3118743055555555,8160.0,7.0588235294117645,548.0,0.5,8160.0,548.0,240.0,34.0,0.08846
MA005344,U gondola intradema L600-5Per,,DD11 DEC.-1.4,Plegado,Listo,12.0,7.477799999999999,24,0.22116999999999998,34.0,600.0,St37-14,DD11 DEC.,1.4,0.311575,20400.0,17.647058823529413,1268.0,0.5,20400.0,1268.0,600.0,34.0,0.22116999999999998
MA005345,U gondola intradema L25-1Per,,DD11 DEC.-1.4,Plegado,Listo,24.0,10.582999999999998,48,0.00862,34.0,25.0,St37-14,DD11 DEC.,1.4,0.22047916666666664,850.0,1.36,118.0,0.5,850.0,118.0,34.0,25.0,0.00862
MA006150,U gondola intradema L610-4Per,,DD11 DEC.-1.4,Plegado,Listo,36.0,18.485899999999997,72,0.22541,34.03377,610.0280499999999,St37-14,DD11 DEC.,1.4,0.2567486111111111,20761.554347248493,17.92419852399543,1288.1236399999998,0.5,20761.554347248493,1288.1236399999998,610.0280499999999,34.03377,0.22541
MA006633,"Angular 25x25 espesor 1,5 mm Long 1615",Escuadra,GALVA-1.5,Plegado,Listo,4.0,11.6831,8,0.8997299999999999,47.312999999999995,1615.0,GALVA-15,GALVA,1.5,1.4603875,76410.495,34.13438167099952,3324.626,0.5,76410.495,3324.626,1615.0,47.312999999999995,0.8997299999999999
MA006873,Angular 25x25 Long 2140,Escuadra,GALVA-1.5,Plegado,Listo,2.0,1.648,4,1.1922199999999998,47.312999999999995,2140.0,GALVA-15,GALVA,1.5,0.412,101249.81999999999,45.23069769407986,4374.626,0.5,101249.81999999999,4374.626,2140.0,47.312999999999995,1.1922199999999998
MA007432,U Intradema cerrada largo 397 4T,,DD11 DEC.-1.4,Plegado,Listo,5.0,30.6196,10,0.38295999999999997,88.0,397.0,St37-14,DD11 DEC.,1.4,3.06196,34936.0,4.511363636363637,970.0,0.5,34936.0,970.0,397.0,88.0,0.38295999999999997
MA007623,Bandeja aluminio 1000x800 pestaña 25,Bandeja,AlMg3-15,Plegado,Listo,2.5,10.969399999999998,5,3.54839,847.2399999999999,1044.4799999999998,AlMg3-15,AlMg3,1.5,2.1938799999999996,884925.2351999998,1.2328029838062413,3783.4399999999996,0.5,884925.2351999998,3783.4399999999996,1044.4799999999998,847.2399999999999,3.54839
MA007626,Angular 40x30 derecho,Escuadra,DD11 DEC.-4,Plegado,Listo,0.5,1.9606999999999999,1,0.3873,63.0,200.0,St37-40,DD11 DEC.,4.0,1.9606999999999999,12600.0,3.1746031746031744,526.0,0.5,12600.0,526.0,200.0,63.0,0.3873
MA007627,Angular cornisa,Escuadra,DD11 DEC.-4,Plegado,Listo,1.0,6.575799999999999,2,0.45009999999999994,73.0,200.0,St37-40,DD11 DEC.,4.0,3.2878999999999996,14600.0,2.73972602739726,546.0,0.5,14600.0,546.0,200.0,73.0,0.45009999999999994
MA007635,Escuadra Amaro,Escuadra,GALVA-1,Plegado,Listo,125.0,39.75129999999999,252,0.018539999999999997,40.0,60.026999999999994,GALVA-10,GALVA,1.0,0.15774325396825395,2401.08,1.5006749999999998,200.05399999999997,0.49603174603174605,2401.08,200.05399999999997,60.026999999999994,40.0,0.018539999999999997
MA007638,05976B OP-19496_Posicion 6,,S355-JR-6,Plegado,Listo,2.0,11.609699999999998,4,0.44444999999999996,50.0,190.0,St37-60,S355-JR,6.0,2.9024249999999996,9500.0,3.8,480.0,0.5,9500.0,480.0,190.0,50.0,0.44444999999999996
MA007682,Chapas plegadas urgentes,Chapa,DD11 DEC.-1.8,Plegado,Listo,13.0,35.1635,26,4.05868,287.38921999999997,1000.0,St37-18,DD11 DEC.,1.8,1.3524423076923076,287389.22,3.479601635718974,2574.77844,0.5,287389.22,2574.77844,1000.0,287.38921999999997,4.05868
MA007686,Calce Confident,,GALVA-3,Plegado,Listo,1.0,1.0,2,0.50132,44.0,493.70795999999996,GALVA-30,GALVA,3.0,0.5,21723.15024,11.220635454545453,1075.41592,0.5,21723.15024,1075.41592,493.70795999999996,44.0,0.50132
MA-250-001,Envolvente exterior dcha 4 mm,,DD11 DEC.-4,Plegado,Listo,8.0,203.4159,16,91.34567,1462.25218,2310.28876,St37-40,DD11 DEC.,4.0,12.71349375,3378224.7757394966,1.5799523444717996,7545.08188,0.5,3378224.7757394966,7545.08188,2310.28876,1462.25218,91.34567
MA-250-002,Envolvente exterior izda 4 mm,,DD11 DEC.-4,Plegado,Listo,8.0,198.93259999999998,16,91.00773,1449.08477,2311.048,St37-40,DD11 DEC.,4.0,12.433287499999999,3348904.4595389594,1.5948328543953987,7520.265539999999,0.5,3348904.4595389594,7520.265539999999,2311.048,1449.08477,91.00773
MA-250-017,Refuerzos ganchos 1447x40x8 mm,Refuerzo,S235-JR-8,Plegado,Listo,16.0,16.0,32,3.69197,40.0,1469.73453,St37-80,S235-JR,8.0,0.5,58789.381199999996,36.74336325,3019.46906,0.5,58789.381199999996,3019.46906,1469.73453,40.0,3.69197
MA-250-025,Pieza adiciona exterior 4 mm,,DD11 DEC.-4,Plegado,Listo,8.0,8.0,16,5.8663099999999995,287.56798,934.4321699999999,St37-40,DD11 DEC.,4.0,0.5,268712.77157391654,3.2494305172641265,2444.0002999999997,0.5,268712.77157391654,2444.0002999999997,934.4321699999999,287.56798,5.8663099999999995
P210812130477,CHAPA PARA GANCHO AT00019886,Chapa,DD11 DEC.-1.8,Plegado,Listo,60.0,72.92979999999999,120,0.05919,50.0,100.0,St37-18,DD11 DEC.,1.8,0.6077483333333332,5000.0,2.0,300.0,0.5,5000.0,300.0,100.0,50.0,0.05919
