Archivo,Tipo,Parametros,Descripcion
RECT_013_1415.9x559.5.dxf,Rectangulo,"Ancho=1415.86, Largo=559.48",Rectángulo de 1415.9mm x 559.5mm
RECT_013_1415.9x559.5_1holes.dxf,Rectangulo con agujeros,"Ancho=1415.86, Largo=559.48, Agujeros=1, Diametros=[13.81]",Rectángulo 1415.9x559.5mm con 1 agujeros (distribución circular)
WASH_014_D541.4-430.5.dxf,Arandela,"D_exterior=541.37, D_interior=430.53",Arandela Ø541.4mm / Ø430.5mm
WASH_014_D541.4-430.5_41holes.dxf,Arandela con agujeros,"D_exterior=541.37, D_interior=430.53, Agujeros=41, D_agujero=9.00",Arandela Ø541.4/Ø430.5mm con 41 agujeros de Ø9.0mm (circular)
RECT_015_2298.7x845.6.dxf,Rectangulo,"Ancho=2298.69, Largo=845.56",Rectángulo de 2298.7mm x 845.6mm
RECT_015_2298.7x845.6_1holes.dxf,Rectangulo con agujeros,"Ancho=2298.69, Largo=845.56, Agujeros=1, Diametros=[14.90]",Rectángulo 2298.7x845.6mm con 1 agujeros (distribución aleatoria)
WASH_016_D364.2-135.3.dxf,Arandela,"D_exterior=364.18, D_interior=135.26",Arandela Ø364.2mm / Ø135.3mm
WASH_016_D364.2-135.3_45holes.dxf,Arandela con agujeros,"D_exterior=364.18, D_interior=135.26, Agujeros=45, D_agujero=9.99",Arandela Ø364.2/Ø135.3mm con 45 agujeros de Ø10.0mm (circular)
RECT_017_2587.7x957.3.dxf,Rectangulo,"Ancho=2587.67, Largo=957.31",Rectángulo de 2587.7mm x 957.3mm
RECT_017_2587.7x957.3_8holes.dxf,Rectangulo con agujeros,"Ancho=2587.67, Largo=957.31, Agujeros=8, Diametros=[13.49, 4.06, 6.93, 11.00, 7.74, 12.07, 13.08, 7.57]",Rectángulo 2587.7x957.3mm con 8 agujeros (distribución circular)
RECT_018_2139.8x1449.1.dxf,Rectangulo,"Ancho=2139.85, Largo=1449.14",Rectángulo de 2139.8mm x 1449.1mm
RECT_018_2139.8x1449.1_2holes.dxf,Rectangulo con agujeros,"Ancho=2139.85, Largo=1449.14, Agujeros=2, Diametros=[8.46, 7.23]",Rectángulo 2139.8x1449.1mm con 2 agujeros (distribución circular)
RECT_019_457.8x631.0.dxf,Rectangulo,"Ancho=457.78, Largo=630.96",Rectángulo de 457.8mm x 631.0mm
RECT_019_457.8x631.0_8holes.dxf,Rectangulo con agujeros,"Ancho=457.78, Largo=630.96, Agujeros=8, Diametros=[5.16, 9.25, 11.01, 4.49, 7.25, 10.07, 10.68, 11.77]",Rectángulo 457.8x631.0mm con 8 agujeros (distribución cuadricula)
RECT_020_2078.2x746.3.dxf,Rectangulo,"Ancho=2078.21, Largo=746.26",Rectángulo de 2078.2mm x 746.3mm
RECT_020_2078.2x746.3_1holes.dxf,Rectangulo con agujeros,"Ancho=2078.21, Largo=746.26, Agujeros=1, Diametros=[7.21]",Rectángulo 2078.2x746.3mm con 1 agujeros (distribución cuadricula)
WASH_021_D779.0-400.9.dxf,Arandela,"D_exterior=778.97, D_interior=400.86",Arandela Ø779.0mm / Ø400.9mm
WASH_021_D779.0-400.9_12holes.dxf,Arandela con agujeros,"D_exterior=778.97, D_interior=400.86, Agujeros=12, D_agujero=12.26",Arandela Ø779.0/Ø400.9mm con 12 agujeros de Ø12.3mm (circular)
RECT_022_2230.1x105.5.dxf,Rectangulo,"Ancho=2230.09, Largo=105.52",Rectángulo de 2230.1mm x 105.5mm
RECT_022_2230.1x105.5_1holes.dxf,Rectangulo con agujeros,"Ancho=2230.09, Largo=105.52, Agujeros=1, Diametros=[13.77]",Rectángulo 2230.1x105.5mm con 1 agujeros (distribución aleatoria)
WASH_023_D431.4-296.3.dxf,Arandela,"D_exterior=431.40, D_interior=296.25",Arandela Ø431.4mm / Ø296.3mm
WASH_023_D431.4-296.3_47holes.dxf,Arandela con agujeros,"D_exterior=431.40, D_interior=296.25, Agujeros=47, D_agujero=8.31",Arandela Ø431.4/Ø296.3mm con 47 agujeros de Ø8.3mm (circular)
RECT_024_911.5x457.6.dxf,Rectangulo,"Ancho=911.53, Largo=457.62",Rectángulo de 911.5mm x 457.6mm
RECT_024_911.5x457.6_1holes.dxf,Rectangulo con agujeros,"Ancho=911.53, Largo=457.62, Agujeros=1, Diametros=[11.36]",Rectángulo 911.5x457.6mm con 1 agujeros (distribución aleatoria)
RECT_025_359.6x1406.6.dxf,Rectangulo,"Ancho=359.61, Largo=1406.62",Rectángulo de 359.6mm x 1406.6mm
RECT_025_359.6x1406.6_2holes.dxf,Rectangulo con agujeros,"Ancho=359.61, Largo=1406.62, Agujeros=2, Diametros=[14.15, 13.30]",Rectángulo 359.6x1406.6mm con 2 agujeros (distribución cuadricula)
RECT_026_1123.0x338.1.dxf,Rectangulo,"Ancho=1123.04, Largo=338.06",Rectángulo de 1123.0mm x 338.1mm
RECT_026_1123.0x338.1_1holes.dxf,Rectangulo con agujeros,"Ancho=1123.04, Largo=338.06, Agujeros=1, Diametros=[5.63]",Rectángulo 1123.0x338.1mm con 1 agujeros (distribución aleatoria)
RECT_027_1989.7x640.3.dxf,Rectangulo,"Ancho=1989.67, Largo=640.32",Rectángulo de 1989.7mm x 640.3mm
RECT_027_1989.7x640.3_2holes.dxf,Rectangulo con agujeros,"Ancho=1989.67, Largo=640.32, Agujeros=2, Diametros=[8.66, 8.53]",Rectángulo 1989.7x640.3mm con 2 agujeros (distribución aleatoria)
WASH_028_D282.6-147.3.dxf,Arandela,"D_exterior=282.57, D_interior=147.29",Arandela Ø282.6mm / Ø147.3mm
WASH_028_D282.6-147.3_40holes.dxf,Arandela con agujeros,"D_exterior=282.57, D_interior=147.29, Agujeros=40, D_agujero=12.17",Arandela Ø282.6/Ø147.3mm con 40 agujeros de Ø12.2mm (circular)
WASH_029_D73.8-25.9.dxf,Arandela,"D_exterior=73.80, D_interior=25.92",Arandela Ø73.8mm / Ø25.9mm
WASH_029_D73.8-25.9_39holes.dxf,Arandela con agujeros,"D_exterior=73.80, D_interior=25.92, Agujeros=39, D_agujero=4.18",Arandela Ø73.8/Ø25.9mm con 39 agujeros de Ø4.2mm (circular)
RECT_030_2306.8x627.2.dxf,Rectangulo,"Ancho=2306.84, Largo=627.19",Rectángulo de 2306.8mm x 627.2mm
RECT_030_2306.8x627.2_16holes.dxf,Rectangulo con agujeros,"Ancho=2306.84, Largo=627.19, Agujeros=16, Diametros=[8.57, 14.95, 14.73, 14.05, 7.57, 11.83, 7.08, 6.18, 14.29, 14.59, 11.43, 12.59, 13.72, 10.42, 6.81, 13.13]",Rectángulo 2306.8x627.2mm con 16 agujeros (distribución circular)
RECT_031_1752.9x1412.7.dxf,Rectangulo,"Ancho=1752.89, Largo=1412.74",Rectángulo de 1752.9mm x 1412.7mm
RECT_031_1752.9x1412.7_2holes.dxf,Rectangulo con agujeros,"Ancho=1752.89, Largo=1412.74, Agujeros=2, Diametros=[9.06, 8.84]",Rectángulo 1752.9x1412.7mm con 2 agujeros (distribución cuadricula)
RECT_032_1101.2x1319.6.dxf,Rectangulo,"Ancho=1101.24, Largo=1319.59",Rectángulo de 1101.2mm x 1319.6mm
RECT_032_1101.2x1319.6_1holes.dxf,Rectangulo con agujeros,"Ancho=1101.24, Largo=1319.59, Agujeros=1, Diametros=[5.56]",Rectángulo 1101.2x1319.6mm con 1 agujeros (distribución aleatoria)
WASH_033_D100.6-51.9.dxf,Arandela,"D_exterior=100.65, D_interior=51.89",Arandela Ø100.6mm / Ø51.9mm
WASH_033_D100.6-51.9_6holes.dxf,Arandela con agujeros,"D_exterior=100.65, D_interior=51.89, Agujeros=6, D_agujero=5.78",Arandela Ø100.6/Ø51.9mm con 6 agujeros de Ø5.8mm (circular)
RECT_034_2810.8x454.5.dxf,Rectangulo,"Ancho=2810.75, Largo=454.54",Rectángulo de 2810.8mm x 454.5mm
RECT_034_2810.8x454.5_2holes.dxf,Rectangulo con agujeros,"Ancho=2810.75, Largo=454.54, Agujeros=2, Diametros=[14.88, 7.07]",Rectángulo 2810.8x454.5mm con 2 agujeros (distribución aleatoria)
RECT_035_835.2x700.3.dxf,Rectangulo,"Ancho=835.19, Largo=700.25",Rectángulo de 835.2mm x 700.3mm
RECT_035_835.2x700.3_4holes.dxf,Rectangulo con agujeros,"Ancho=835.19, Largo=700.25, Agujeros=4, Diametros=[14.06, 8.30, 5.18, 13.15]",Rectángulo 835.2x700.3mm con 4 agujeros (distribución cuadricula)
WASH_036_D1304.5-791.0.dxf,Arandela,"D_exterior=1304.52, D_interior=790.95",Arandela Ø1304.5mm / Ø791.0mm
WASH_036_D1304.5-791.0_47holes.dxf,Arandela con agujeros,"D_exterior=1304.52, D_interior=790.95, Agujeros=47, D_agujero=8.24",Arandela Ø1304.5/Ø791.0mm con 47 agujeros de Ø8.2mm (circular)
RECT_037_1577.7x661.4.dxf,Rectangulo,"Ancho=1577.66, Largo=661.42",Rectángulo de 1577.7mm x 661.4mm
RECT_037_1577.7x661.4_2holes.dxf,Rectangulo con agujeros,"Ancho=1577.66, Largo=661.42, Agujeros=2, Diametros=[5.48, 11.51]",Rectángulo 1577.7x661.4mm con 2 agujeros (distribución aleatoria)
WASH_038_D1389.7-842.2.dxf,Arandela,"D_exterior=1389.66, D_interior=842.21",Arandela Ø1389.7mm / Ø842.2mm
WASH_038_D1389.7-842.2_19holes.dxf,Arandela con agujeros,"D_exterior=1389.66, D_interior=842.21, Agujeros=19, D_agujero=14.36",Arandela Ø1389.7/Ø842.2mm con 19 agujeros de Ø14.4mm (circular)
WASH_039_D187.6-66.8.dxf,Arandela,"D_exterior=187.59, D_interior=66.78",Arandela Ø187.6mm / Ø66.8mm
WASH_039_D187.6-66.8_20holes.dxf,Arandela con agujeros,"D_exterior=187.59, D_interior=66.78, Agujeros=20, D_agujero=10.81",Arandela Ø187.6/Ø66.8mm con 20 agujeros de Ø10.8mm (circular)
RECT_040_663.8x71.5.dxf,Rectangulo,"Ancho=663.77, Largo=71.52",Rectángulo de 663.8mm x 71.5mm
RECT_040_663.8x71.5_1holes.dxf,Rectangulo con agujeros,"Ancho=663.77, Largo=71.52, Agujeros=1, Diametros=[13.47]",Rectángulo 663.8x71.5mm con 1 agujeros (distribución aleatoria)
RECT_041_1585.6x1209.5.dxf,Rectangulo,"Ancho=1585.62, Largo=1209.49",Rectángulo de 1585.6mm x 1209.5mm
RECT_041_1585.6x1209.5_1holes.dxf,Rectangulo con agujeros,"Ancho=1585.62, Largo=1209.49, Agujeros=1, Diametros=[9.05]",Rectángulo 1585.6x1209.5mm con 1 agujeros (distribución aleatoria)
WASH_042_D1346.8-908.0.dxf,Arandela,"D_exterior=1346.80, D_interior=908.02",Arandela Ø1346.8mm / Ø908.0mm
WASH_042_D1346.8-908.0_19holes.dxf,Arandela con agujeros,"D_exterior=1346.80, D_interior=908.02, Agujeros=19, D_agujero=11.97",Arandela Ø1346.8/Ø908.0mm con 19 agujeros de Ø12.0mm (circular)
RECT_043_172.8x193.8.dxf,Rectangulo,"Ancho=172.83, Largo=193.82",Rectángulo de 172.8mm x 193.8mm
RECT_043_172.8x193.8_4holes.dxf,Rectangulo con agujeros,"Ancho=172.83, Largo=193.82, Agujeros=4, Diametros=[5.99, 6.45, 5.51, 8.54]",Rectángulo 172.8x193.8mm con 4 agujeros (distribución cuadricula)
WASH_044_D1157.3-685.2.dxf,Arandela,"D_exterior=1157.32, D_interior=685.18",Arandela Ø1157.3mm / Ø685.2mm
WASH_044_D1157.3-685.2_42holes.dxf,Arandela con agujeros,"D_exterior=1157.32, D_interior=685.18, Agujeros=42, D_agujero=11.02",Arandela Ø1157.3/Ø685.2mm con 42 agujeros de Ø11.0mm (circular)
RECT_045_2785.6x367.4.dxf,Rectangulo,"Ancho=2785.58, Largo=367.44",Rectángulo de 2785.6mm x 367.4mm
RECT_045_2785.6x367.4_1holes.dxf,Rectangulo con agujeros,"Ancho=2785.58, Largo=367.44, Agujeros=1, Diametros=[12.66]",Rectángulo 2785.6x367.4mm con 1 agujeros (distribución aleatoria)
WASH_046_D1021.8-544.5.dxf,Arandela,"D_exterior=1021.79, D_interior=544.54",Arandela Ø1021.8mm / Ø544.5mm
WASH_046_D1021.8-544.5_40holes.dxf,Arandela con agujeros,"D_exterior=1021.79, D_interior=544.54, Agujeros=40, D_agujero=12.97",Arandela Ø1021.8/Ø544.5mm con 40 agujeros de Ø13.0mm (circular)
WASH_047_D470.6-293.1.dxf,Arandela,"D_exterior=470.62, D_interior=293.08",Arandela Ø470.6mm / Ø293.1mm
WASH_047_D470.6-293.1_36holes.dxf,Arandela con agujeros,"D_exterior=470.62, D_interior=293.08, Agujeros=36, D_agujero=9.98",Arandela Ø470.6/Ø293.1mm con 36 agujeros de Ø10.0mm (circular)
WASH_048_D1412.4-852.3.dxf,Arandela,"D_exterior=1412.41, D_interior=852.25",Arandela Ø1412.4mm / Ø852.3mm
WASH_048_D1412.4-852.3_19holes.dxf,Arandela con agujeros,"D_exterior=1412.41, D_interior=852.25, Agujeros=19, D_agujero=7.37",Arandela Ø1412.4/Ø852.3mm con 19 agujeros de Ø7.4mm (circular)
RECT_049_646.6x1396.6.dxf,Rectangulo,"Ancho=646.55, Largo=1396.57",Rectángulo de 646.6mm x 1396.6mm
RECT_049_646.6x1396.6_16holes.dxf,Rectangulo con agujeros,"Ancho=646.55, Largo=1396.57, Agujeros=16, Diametros=[4.27, 14.26, 13.30, 9.89, 11.21, 11.12, 7.40, 9.85, 12.86, 10.75, 4.80, 8.51, 11.99, 10.12, 8.72, 11.54]",Rectángulo 646.6x1396.6mm con 16 agujeros (distribución circular)
RECT_050_121.0x261.9.dxf,Rectangulo,"Ancho=120.98, Largo=261.89",Rectángulo de 121.0mm x 261.9mm
RECT_050_121.0x261.9_8holes.dxf,Rectangulo con agujeros,"Ancho=120.98, Largo=261.89, Agujeros=8, Diametros=[7.06, 7.33, 6.32, 9.47, 9.68, 10.33, 6.59, 7.89]",Rectángulo 121.0x261.9mm con 8 agujeros (distribución aleatoria)
WASH_051_D111.9-54.8.dxf,Arandela,"D_exterior=111.93, D_interior=54.79",Arandela Ø111.9mm / Ø54.8mm
WASH_051_D111.9-54.8_9holes.dxf,Arandela con agujeros,"D_exterior=111.93, D_interior=54.79, Agujeros=9, D_agujero=6.91",Arandela Ø111.9/Ø54.8mm con 9 agujeros de Ø6.9mm (circular)
RECT_052_1978.1x1255.1.dxf,Rectangulo,"Ancho=1978.14, Largo=1255.13",Rectángulo de 1978.1mm x 1255.1mm
RECT_052_1978.1x1255.1_2holes.dxf,Rectangulo con agujeros,"Ancho=1978.14, Largo=1255.13, Agujeros=2, Diametros=[12.31, 6.86]",Rectángulo 1978.1x1255.1mm con 2 agujeros (distribución aleatoria)
RECT_053_2273.2x310.7.dxf,Rectangulo,"Ancho=2273.15, Largo=310.69",Rectángulo de 2273.2mm x 310.7mm
RECT_053_2273.2x310.7_2holes.dxf,Rectangulo con agujeros,"Ancho=2273.15, Largo=310.69, Agujeros=2, Diametros=[8.72, 7.60]",Rectángulo 2273.2x310.7mm con 2 agujeros (distribución aleatoria)
RECT_054_2127.4x1028.1.dxf,Rectangulo,"Ancho=2127.36, Largo=1028.09",Rectángulo de 2127.4mm x 1028.1mm
RECT_054_2127.4x1028.1_8holes.dxf,Rectangulo con agujeros,"Ancho=2127.36, Largo=1028.09, Agujeros=8, Diametros=[10.25, 5.85, 14.14, 5.22, 7.27, 11.22, 6.96, 12.36]",Rectángulo 2127.4x1028.1mm con 8 agujeros (distribución aleatoria)
RECT_055_2672.7x1204.2.dxf,Rectangulo,"Ancho=2672.66, Largo=1204.18",Rectángulo de 2672.7mm x 1204.2mm
RECT_055_2672.7x1204.2_8holes.dxf,Rectangulo con agujeros,"Ancho=2672.66, Largo=1204.18, Agujeros=8, Diametros=[10.17, 4.78, 12.85, 8.65, 6.99, 4.37, 5.37, 10.91]",Rectángulo 2672.7x1204.2mm con 8 agujeros (distribución aleatoria)
RECT_056_747.5x881.2.dxf,Rectangulo,"Ancho=747.45, Largo=881.17",Rectángulo de 747.5mm x 881.2mm
RECT_056_747.5x881.2_8holes.dxf,Rectangulo con agujeros,"Ancho=747.45, Largo=881.17, Agujeros=8, Diametros=[11.77, 4.30, 11.64, 13.84, 10.12, 9.82, 6.03, 13.45]",Rectángulo 747.5x881.2mm con 8 agujeros (distribución cuadricula)
RECT_057_163.1x667.8.dxf,Rectangulo,"Ancho=163.15, Largo=667.79",Rectángulo de 163.1mm x 667.8mm
RECT_057_163.1x667.8_4holes.dxf,Rectangulo con agujeros,"Ancho=163.15, Largo=667.79, Agujeros=4, Diametros=[9.72, 12.34, 9.30, 14.42]",Rectángulo 163.1x667.8mm con 4 agujeros (distribución cuadricula)
WASH_058_D768.4-286.8.dxf,Arandela,"D_exterior=768.43, D_interior=286.79",Arandela Ø768.4mm / Ø286.8mm
WASH_058_D768.4-286.8_14holes.dxf,Arandela con agujeros,"D_exterior=768.43, D_interior=286.79, Agujeros=14, D_agujero=12.33",Arandela Ø768.4/Ø286.8mm con 14 agujeros de Ø12.3mm (circular)
RECT_059_2478.9x497.5.dxf,Rectangulo,"Ancho=2478.87, Largo=497.46",Rectángulo de 2478.9mm x 497.5mm
RECT_059_2478.9x497.5_8holes.dxf,Rectangulo con agujeros,"Ancho=2478.87, Largo=497.46, Agujeros=8, Diametros=[14.55, 8.22, 5.18, 4.06, 4.92, 6.15, 10.19, 5.33]",Rectángulo 2478.9x497.5mm con 8 agujeros (distribución cuadricula)
WASH_060_D528.3-191.4.dxf,Arandela,"D_exterior=528.32, D_interior=191.40",Arandela Ø528.3mm / Ø191.4mm
WASH_060_D528.3-191.4_24holes.dxf,Arandela con agujeros,"D_exterior=528.32, D_interior=191.40, Agujeros=24, D_agujero=12.37",Arandela Ø528.3/Ø191.4mm con 24 agujeros de Ø12.4mm (circular)
WASH_061_D489.1-339.6.dxf,Arandela,"D_exterior=489.12, D_interior=339.56",Arandela Ø489.1mm / Ø339.6mm
WASH_061_D489.1-339.6_8holes.dxf,Arandela con agujeros,"D_exterior=489.12, D_interior=339.56, Agujeros=8, D_agujero=4.35",Arandela Ø489.1/Ø339.6mm con 8 agujeros de Ø4.3mm (circular)
RECT_062_1531.9x856.7.dxf,Rectangulo,"Ancho=1531.90, Largo=856.71",Rectángulo de 1531.9mm x 856.7mm
RECT_062_1531.9x856.7_32holes.dxf,Rectangulo con agujeros,"Ancho=1531.90, Largo=856.71, Agujeros=32, Diametros=[4.74, 12.72, 7.45, 11.90, 10.01, 4.59, 14.68, 7.57, 7.46, 5.86, 7.44, 8.38, 4.79, 7.73, 9.44, 10.87, 13.00, 11.45, 12.89, 8.77, 9.74, 14.90, 13.84, 7.64, 13.06, 6.90, 6.26, 12.54, 11.18, 8.60, 13.56, 9.40]",Rectángulo 1531.9x856.7mm con 32 agujeros (distribución circular)
WASH_063_D1126.3-705.9.dxf,Arandela,"D_exterior=1126.30, D_interior=705.89",Arandela Ø1126.3mm / Ø705.9mm
WASH_063_D1126.3-705.9_15holes.dxf,Arandela con agujeros,"D_exterior=1126.30, D_interior=705.89, Agujeros=15, D_agujero=13.39",Arandela Ø1126.3/Ø705.9mm con 15 agujeros de Ø13.4mm (circular)
RECT_064_1068.2x273.6.dxf,Rectangulo,"Ancho=1068.21, Largo=273.60",Rectángulo de 1068.2mm x 273.6mm
RECT_064_1068.2x273.6_1holes.dxf,Rectangulo con agujeros,"Ancho=1068.21, Largo=273.60, Agujeros=1, Diametros=[10.53]",Rectángulo 1068.2x273.6mm con 1 agujeros (distribución cuadricula)
WASH_065_D453.2-248.2.dxf,Arandela,"D_exterior=453.19, D_interior=248.19",Arandela Ø453.2mm / Ø248.2mm
WASH_065_D453.2-248.2_30holes.dxf,Arandela con agujeros,"D_exterior=453.19, D_interior=248.19, Agujeros=30, D_agujero=9.14",Arandela Ø453.2/Ø248.2mm con 30 agujeros de Ø9.1mm (circular)
RECT_066_77.8x352.7.dxf,Rectangulo,"Ancho=77.79, Largo=352.66",Rectángulo de 77.8mm x 352.7mm
RECT_066_77.8x352.7_1holes.dxf,Rectangulo con agujeros,"Ancho=77.79, Largo=352.66, Agujeros=1, Diametros=[6.06]",Rectángulo 77.8x352.7mm con 1 agujeros (distribución aleatoria)
WASH_067_D1335.7-997.4.dxf,Arandela,"D_exterior=1335.68, D_interior=997.42",Arandela Ø1335.7mm / Ø997.4mm
WASH_067_D1335.7-997.4_42holes.dxf,Arandela con agujeros,"D_exterior=1335.68, D_interior=997.42, Agujeros=42, D_agujero=7.37",Arandela Ø1335.7/Ø997.4mm con 42 agujeros de Ø7.4mm (circular)
RECT_068_58.2x307.4.dxf,Rectangulo,"Ancho=58.25, Largo=307.41",Rectángulo de 58.2mm x 307.4mm
RECT_068_58.2x307.4_2holes.dxf,Rectangulo con agujeros,"Ancho=58.25, Largo=307.41, Agujeros=2, Diametros=[8.04, 14.87]",Rectángulo 58.2x307.4mm con 2 agujeros (distribución circular)
RECT_069_572.1x120.1.dxf,Rectangulo,"Ancho=572.09, Largo=120.08",Rectángulo de 572.1mm x 120.1mm
RECT_069_572.1x120.1_2holes.dxf,Rectangulo con agujeros,"Ancho=572.09, Largo=120.08, Agujeros=2, Diametros=[7.78, 4.21]",Rectángulo 572.1x120.1mm con 2 agujeros (distribución cuadricula)
WASH_070_D593.6-360.6.dxf,Arandela,"D_exterior=593.59, D_interior=360.56",Arandela Ø593.6mm / Ø360.6mm
WASH_070_D593.6-360.6_46holes.dxf,Arandela con agujeros,"D_exterior=593.59, D_interior=360.56, Agujeros=46, D_agujero=4.56",Arandela Ø593.6/Ø360.6mm con 46 agujeros de Ø4.6mm (circular)
WASH_071_D588.1-211.4.dxf,Arandela,"D_exterior=588.09, D_interior=211.41",Arandela Ø588.1mm / Ø211.4mm
WASH_071_D588.1-211.4_42holes.dxf,Arandela con agujeros,"D_exterior=588.09, D_interior=211.41, Agujeros=42, D_agujero=8.31",Arandela Ø588.1/Ø211.4mm con 42 agujeros de Ø8.3mm (circular)
RECT_072_2790.2x284.1.dxf,Rectangulo,"Ancho=2790.22, Largo=284.09",Rectángulo de 2790.2mm x 284.1mm
RECT_072_2790.2x284.1_2holes.dxf,Rectangulo con agujeros,"Ancho=2790.22, Largo=284.09, Agujeros=2, Diametros=[12.08, 6.41]",Rectángulo 2790.2x284.1mm con 2 agujeros (distribución cuadricula)
WASH_073_D602.8-415.8.dxf,Arandela,"D_exterior=602.83, D_interior=415.85",Arandela Ø602.8mm / Ø415.8mm
WASH_073_D602.8-415.8_48holes.dxf,Arandela con agujeros,"D_exterior=602.83, D_interior=415.85, Agujeros=48, D_agujero=7.12",Arandela Ø602.8/Ø415.8mm con 48 agujeros de Ø7.1mm (circular)
WASH_074_D305.2-114.7.dxf,Arandela,"D_exterior=305.16, D_interior=114.69",Arandela Ø305.2mm / Ø114.7mm
WASH_074_D305.2-114.7_30holes.dxf,Arandela con agujeros,"D_exterior=305.16, D_interior=114.69, Agujeros=30, D_agujero=4.76",Arandela Ø305.2/Ø114.7mm con 30 agujeros de Ø4.8mm (circular)
WASH_075_D802.1-417.6.dxf,Arandela,"D_exterior=802.12, D_interior=417.56",Arandela Ø802.1mm / Ø417.6mm
